Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
75,DePaul,31,12,19,.387,1.99,4.57,3,15,7,9,3,8,2298,2378,71.8,102.9,.264,.342,.522,45.5,55.3,11.0,9.8,.495,15.9,31.4,.184
76,Detroit Mercy,36,22,14,.611,2.40,-0.01,11,7,13,4,6,8,2597,2432,67.2,107.0,.427,.275,.538,51.5,51.3,11.2,11.3,.491,15.9,35.7,.312
77,Drake,34,18,16,.529,2.44,2.96,9,9,13,3,3,10,2279,2271,67.0,98.5,.418,.326,.530,48.4,44.4,10.2,8.5,.498,17.2,24.7,.274
78,Drexel,36,29,7,.806,7.37,-1.80,16,2,15,1,11,3,2350,2020,60.9,107.2,.390,.321,.544,54.7,57.7,7.9,9.5,.501,16.4,34.4,.289
79,Duke,34,27,7,.794,17.05,8.40,13,3,13,3,8,1,2628,2334,68.3,112.3,.451,.386,.565,51.9,48.4,9.0,11.6,.528,15.3,34.7,.316
80,Duquesne,31,16,15,.516,4.09,3.96,7,9,9,5,4,9,2252,2232,69.2,104.5,.370,.333,.536,44.6,58.7,11.1,9.5,.507,15.3,29.6,.247
81,East Carolina,31,15,16,.484,2.42,2.53,5,11,10,7,3,8,2136,2019,66.7,102.4,.346,.394,.535,49.8,60.5,11.6,12.6,.505,17.7,31.5,.237
82,East Tennessee State,31,17,14,.548,-0.41,-1.78,10,8,10,3,6,10,2098,2017,66.7,101.5,.392,.236,.507,50.5,42.1,15.3,6.8,.477,17.0,36.8,.249
83,Eastern Illinois,29,12,17,.414,-11.48,-6.48,5,11,7,7,5,10,1896,1984,64.2,100.5,.312,.272,.523,48.6,55.7,8.7,5.8,.482,17.5,32.0,.236
84,Eastern Kentucky,32,16,16,.500,-8.47,-5.93,7,9,11,3,4,11,2123,2117,62.8,104.0,.321,.397,.537,46.7,50.8,11.7,5.7,.501,15.0,27.9,.236
85,Eastern Michigan,32,14,18,.438,-7.90,-1.68,9,7,9,4,5,13,1704,1878,59.5,88.8,.358,.322,.468,47.7,53.2,11.8,9.3,.424,19.5,32.3,.248
86,Eastern Washington,32,15,17,.469,-3.87,-3.23,8,8,9,4,6,13,2326,2284,69.1,104.7,.344,.414,.522,48.2,49.5,10.3,10.2,.486,14.6,31.4,.244
87,Elon,31,15,16,.484,-7.41,-3.03,9,9,10,4,4,11,2175,2226,70.5,98.3,.322,.366,.515,48.4,52.9,6.7,7.2,.486,17.0,28.2,.217
88,Evansville,32,16,16,.500,3.46,3.56,9,9,11,7,4,8,2351,2327,67.4,106.1,.431,.261,.561,45.8,63.5,11.0,4.2,.512,16.3,26.9,.329
89,Fairfield,37,22,15,.595,2.94,-1.34,12,6,12,4,5,8,2417,2259,65.2,100.2,.327,.336,.530,50.5,62.6,12.8,11.5,.506,19.3,34.2,.213
90,Fairleigh Dickinson,29,3,26,.103,-16.99,-5.06,2,16,2,11,1,15,1762,2108,68.2,89.0,.327,.247,.480,47.6,49.2,8.4,9.2,.447,19.5,29.5,.216
91,Florida A&M,33,10,23,.303,-15.58,-6.29,6,10,5,8,3,12,2175,2416,70.0,93.5,.283,.282,.475,48.0,42.0,11.6,10.0,.451,18.6,36.3,.174
92,Florida Atlantic,30,11,19,.367,-2.58,0.77,7,9,6,5,4,11,1977,2046,64.8,99.2,.289,.353,.500,48.6,53.2,10.1,11.4,.473,15.7,32.9,.192
93,Florida Gulf Coast,32,15,17,.469,-2.41,-1.96,8,10,9,5,5,11,2306,2306,68.5,104.4,.337,.372,.550,49.9,52.0,11.8,11.0,.525,18.7,34.0,.226
94,Florida International,29,8,21,.276,-5.07,-1.10,5,11,2,9,5,9,1836,1951,64.4,97.0,.388,.295,.512,48.4,43.0,11.4,10.3,.466,19.3,32.8,.281
95,Florida State,35,25,10,.714,14.53,7.62,12,4,15,2,5,5,2443,2201,67.4,102.0,.348,.318,.545,52.2,48.7,11.1,16.2,.512,20.3,35.4,.246
96,Florida,37,26,11,.703,18.25,7.33,10,6,14,2,4,7,2808,2404,65.1,115.4,.332,.446,.576,52.0,56.5,9.6,10.6,.548,14.5,33.5,.237
